Uuid,Void/Retire,Name,Description,Parent,Tags,IdentifierSourceName,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
a30f934e-b0d2-48dd-9995-41909827c2dc,no,Madhol PHCU,,,Visit Location;,,,,Madhol Payam,,,,,Aweil East County,Northern Bahr El Ghazal State,,,
430c3c79-3a14-459e-a823-f993d8ce9521,no,Madikolok PHCU,,,Visit Location;,,,,Dolo Payam,,,,,Juba County,Central Equatoria State,,,
57123da2-06ce-4fb4-9b57-42d3cd59b7b5,no,Mading Achueng PHCU,,,Visit Location;,,,,Alal Payam,,,,,Abyei County,Abyei Administrative Area,,,
1e823b13-5271-446b-b8ea-c12cf36b1bcd,no,Mading Jok Thiang PHCU,,,Visit Location;,,,,Rumamer Payam,,,,,Abyei County,Abyei Administrative Area,,,
e0056006-b15c-4e4b-b825-3d1bed905c29,no,Mading Luit PHCU,,,Visit Location;,,,,Pannyok Payam,,,,,Twic County,Warrap State,,,
b26763da-d95f-451b-af9c-60184b4518b7,no,Mading PHCC,,,Visit Location;,,,,Mading Payam,,,,,Luakpiny/Nasir County,Upper Nile State,,,
a8726c00-513d-415c-85fb-5ba2e1aeeaaa,no,Mading PHCU,,,Visit Location;,,,,Tali Payam,,,,,Terekeka County,Central Equatoria State,,,
51a01c43-ef76-47d9-ba7e-61828267247a,no,Madol PHCU,,,Visit Location;,,,,Pabuong Payam,,,,,Mayendit County,Unity State,,,
397dc5dc-46a4-45b1-a664-2e372524140f,no,Madoro PHCC,,,Visit Location;,,,,Ezo Centre Payam,,,,,Ezo County,Western Equatoria State,,,
cf77f972-6b7a-431e-b980-0a4897dd8894,no,Maduany PHCU,,,Visit Location;,,,,Mariem East Payam,,,,,Aweil West County,Northern Bahr El Ghazal State,,,
7d51d8e8-29c0-485a-bc38-915a4f6a4b65,no,Mafuyu PHCU,,,Visit Location;,,,,Yangiri Payam,,,,,Ezo County,Western Equatoria State,,,
60898489-e2a0-4cc2-9ec0-dfe28e0638d2,no,Magai PHCU,,,Visit Location;,,,,Kuac South Payam,,,,,Gogrial West County,Warrap State,,,
90bb2a28-17dc-4f5b-a610-77b4107772e6,no,Magak PHCC,,,Visit Location;,,,,Turalei Payam,,,,,Twic County,Warrap State,,,
bec3e862-1ffb-439f-905e-75da2aca0de6,no,Magar PHCU,,,Visit Location;,,,,Mariem East Payam,,,,,Aweil West County,Northern Bahr El Ghazal State,,,
28dad046-9c5d-4cda-a1eb-57b004c10bda,no,Magbuka PHCU,,,Visit Location;,,,,Bangasu Payam,,,,,Yambio County,Western Equatoria State,,,
75fefe29-53b7-406c-913b-4e1fefa5737a,no,Magida PHCU,,,Visit Location;,,,,Gangura Payam,,,,,Yambio County,Western Equatoria State,,,
4c116bae-433b-4264-9d48-6bbd932eca3d,no,Magok Ateny PHCU,,,Visit Location;,,,,Pannyok Payam,,,,,Twic County,Warrap State,,,
a5b609ff-1fe6-4dda-9f4a-358a0bdc09b9,no,Magok PHCU,,,Visit Location;,,,,Abiemnom Payam,,,,,Abiemnhom County,Ruweng Administrative Area,,,
4c16baf2-32b7-484d-8553-48144393c352,no,Magwi CDOT PHCC,,,Visit Location;,,,,Magwi Payam,,,,,Magwi County,Eastern Equatoria State,,,
fa801437-2876-4660-84b2-3fdb94885c4a,no,Magwi PHCC,,,Visit Location;,,,,Magwi Payam,,,,,Magwi County,Eastern Equatoria State,,,
eb218337-4879-4d22-b833-198595ac0f04,no,Magyirii PHCU,,,Visit Location;,,,,Kediba Payam,,,,,Mundri East County,Western Equatoria State,,,
ec59d2f8-8cc7-419d-9f5a-8c46fac1d3db,no,Mahad PHCU,,,Visit Location;,,,,Juba Town Payam,,,,,Juba County,Central Equatoria State,,,
84469035-fcf9-42c8-89a8-0c070ee80fb7,no,Maiwut PHCC,,,Visit Location;,,,,Maiwut Payam,,,,,Maiwut County,Upper Nile State,,,
1d74899b-37c9-4b8e-9f1c-b380a7ad1405,no,Majak Bai PHCC,,,Visit Location;,,,,Malual West Payam (Aweil N),,,,,Aweil North County,Northern Bahr El Ghazal State,,,
c7074375-45e0-41ce-b178-72c0ae5e510b,no,Majak Bol PHCU,,,Visit Location;,,,,Malual North Payam,,,,,Aweil North County,Northern Bahr El Ghazal State,,,
d286e8db-c75f-40ba-a8b9-4784bcdc7f4b,no,Majak Kar PHCC,,,Visit Location;,,,,Malual Centre Payam,,,,,Aweil North County,Northern Bahr El Ghazal State,,,
d08d18c3-c587-4ec6-bff8-8f99c0d6c304,no,Majak Pagai PHCC,,,Visit Location;,,,,Pannyok Payam,,,,,Twic County,Warrap State,,,
d1095538-c44d-4eee-9bd7-599c50e58cc2,no,Majakbol PHCU,,,Visit Location;,,,,Toch North Payam,,,,,Gogrial East County,Warrap State,,,
b034c073-e58e-43cd-9f67-979299d20026,no,Majakgoi PHCU,,,Visit Location;,,,,Toch North Payam,,,,,Gogrial East County,Northern Bahr El Ghazal State,,,
38d2b89d-476c-4261-9bd4-cdc583dac7f7,no,Majak-Jier PHCU,,,Visit Location;,,,,Pannyok Payam,,,,,Twic County,Lakes State,,,
aae7f403-3c07-4c34-8842-2f44feb6dbd9,no,Majak-Nyuom PHCU,,,Visit Location;,,,,Toch North Payam,,,,,Gogrial East County,Warrap State,,,
6cd1302e-1869-4ea5-a14a-b1a42cd5aeb7,no,Majangai PHCU,,,Visit Location;,,,,Wathmuok Payam,,,,,Aweil South County,Northern Bahr El Ghazal State,,,
